CPID,LocalMagnitude,NeuralMagnitude,TotalRAC,Synced Til,Address,CPID_Valid,Witnesses
0d7f1e96b8cd94f85090f0afcefd6959,15,15,3640,5/9/2016 6:00:00 AM,SM5BPxktGwa7ABicssiAyNssvkLiGJg8tS,True,1,
0dd2023c0e4adbcb144e4b723ac93770,0,0,0,5/9/2016 6:00:00 AM,S3hEjG6Wn1bPBFLAFyvD8qQzR4ki2broC8,True,1,
0de1e5b14d1aa8bc9e23182b70135896,3.75,3.75,120,5/9/2016 6:00:00 AM,SAPZGXUas16RK72Nyn7GCEwYBQzQqsN2bs,True,1,
0de87e305d5d3a9cd58bde8a9f84339b,1240,1240,1048571.43,5/9/2016 6:00:00 AM,SLndMNvkqQwqArqyhRz4o7N9hKJKq3GR6m,True,1,
0de9afa3b9ff3870dc5da23599750cda,16.25,16.25,13333.33,5/9/2016 6:00:00 AM,Ryuqa2YYDM1pu4hcURhCCQ8Z4dhsHXpbWG,True,1,
0dead8859f88a58ea1c5849aaced416b,0,0,0,5/9/2016 6:00:00 AM,SAmUDW7wNPH1aJp3sbZjvt5Qd3yZG1vv2G,True,1,
0ded68f4f2e69faf653e5ca9907038d2,80,80,1920,5/9/2016 6:00:00 AM,S98njQRiW4yVUhAskmmT3dbBW7qVibegLs,True,1,
0dfbf790f2cf2c0c6716a34345360c22,2.5,2.5,410,5/9/2016 6:00:00 AM,SDVqLReuNTh5p1JSwe8kPnCgD95xuzAXfS,True,1,
0e2ad09c8a0b450470825376aca24987,50,50,79666.67,5/9/2016 6:00:00 AM,S6juJ5u2rgBcFK3hR7fzHDUdYuR4xWWoim,True,1,
0e4cb20ee4561f27cbc9a0eaf74b8dd6,0,0,0,5/9/2016 6:00:00 AM,SKg8fKtuPiF5eycqpwERnioPvjsMCNmBVG,True,1,
0e65751bb0e2dff626b7d4b346da15b8,0,0,0,5/9/2016 6:00:00 AM,S1W4jekA2Z5amPf1bsUw3T2vWbaafzCvGf,True,1,
0e94cb3fc137086d1df4eee5c3d04eb8,60,60,33666.67,5/9/2016 6:00:00 AM,S4RHQnUwodT8DmcqCtsV1maCdGoo5HgTuE,True,1,
0ea4ec2335db563b75502bfeaea14fa0,3.75,3.75,2760,5/9/2016 6:00:00 AM,S1vc6NUsq53qShcyGcG55GwjqCJFHvWjwo,True,1,
